No,PK,NumOfSpan,L,A,Type,W
1,LK150+180.0,10,10,90,solid slab,LR
2,LK150+973.0,15,15,45,solid slab,LR
3,LK151+520.0,15,15,90,solid slab,LR
4,LK152+154.0,10,10,90,solid slab,LR
5,LK156+025.0,29x35,1015,90,T girder,L
6,LK157+712.5,12x25+35+60+35+5x25,555,90,T+box+T,L
7,LK158+291.0,35+60+35,130,90,T girder,L
8,LK160+015.0,35+60+35,130,120,T+box+T,LR
9,LK160+390.0,15,15,90,solid slab,LR
10,LK161+395.0,35+60+35,130,60,T+box+T,LR
11,LK162+755.0,7x35,245,90,T girder,LR
12,LK163+110.0,15,15,90,solid slab,LR
13,LK163+663.0,15,15,70,solid slab,LR
14,LK164+472.5,17x25,425,90,T girder,L
15,LK166+660.0,4x25,100,90,T girder,L
16,LK167+745.0,15,15,90,solid slab,LR
17,LK168+030.0,15,15,90,solid slab,LR
18,LK168+160.0,1x25,25,90,T girder,LR
19,LK169+065.0,2x35,70,90,T girder,LR
20,LK169+320.0,10x25,250,90,T girder,LR
21,LK169+595.0,15,15,70,solid slab,LR
22,LK169+790.0,1x25,25,90,T girder,LR
23,LK170+323.0,35+60+35,130,90,T girder,LR
24,LK171+265.0,35+60+35,130,90,T girder,LR
25,LK172+027.5,10x35,350,90,T girder,L
26,LK172+970.0,6x35,210,90,T girder,L
27,LK173+518.0,1x25,25,90,T girder,L
28,LK173+740.0,1x25,25,90,T girder,L
29,LK173+890.0,1x25,25,90,T girder,L
30,LK174+640.0,14x35,490,90,T girder,LR
31,LK175+415.0,10x35,350,90,T girder,LR
32,LK176+175.0,1x35,35,90,T girder,LR
33,LK177+052.5,5x35+6x35+6x35,595,90,T girder,L
34,LK177+830.0,8x50,400,90,Box girder,L
35,LK179+498.0,2x25,50,90,T girder,L
36,LK180+719.0,2x25,50,90,T girder,L
37,LK181+410.0,5x50,250,90,T girder,L
38,LK182+220.0,2x25,50,90,T girder,L
39,LK182+555.0,6x35,210,90,T girder,L
40,LK183+160.0,15x35,525,90,T girder,L
41,LK183+675.0,25+3x35+25,155,90,T girder,L
42,LK184+110.0,4x35,140,90,T girder,LR
43,LK184+432.5,2x35+25+35+60+35,225,90,T +Box,LR
44,LK184+840.0,35+60+35,130,90,T girder,LR
45,LK185+190.0,4x35,140,90,T girder,LR
46,LK185+362.5,35+60+35,130,135,T girder,LR
47,LK185+780.0,35+60+35,130,45,T girder,LR
48,LK186+180.0,15,15,45,solid slab,LR
49,LK186+942.5,23x25,575,90,T girder,LR
50,LK187+800.0,10,10,90,solid slab,L
51,LK188+110.0,8x25,200,90,T girder,L
52,LK188+622.5,7x35,245,90,T girder,L
53,LK189+192.5,15x35,525,90,T girder,L
54,LK190+637.5,21x35,735,90,T girder,L
55,LK192+157.5,11x35,385,90,T girder,L
56,LK195+960.0,6x35,210,90,T girder,L
57,LK196+252.5,7x25,175,90,T girder,L
58,LK197+122.5,5x35,175,90,T girder,L
59,LK198+387.5,13x35,455,90,T girder,L
60,LK198+662.5,1x35,35,90,T girder,L
61,LK199+607.5,5x35,175,90,T girder,L
62,LK202+089.5,2x35,70,90,T girder,L
63,LK203+272.5,5x35,175,90,T girder,L
64,LK203+660.0,10,10,90,solid slab,L
65,LK204+812.5,2x25+35+22x25,635,90,T girder,L
66,LK205+695.0,8x25,200,90,T girder,L
67,LK206+167.5,12x25,300,90,T girder,L
68,LK206+732.5,5x25,125,90,T girder,L
69,LK207+075.0,4x25,100,90,T girder,L
70,LK207+360.0,6x25,150,90,T girder,L
71,LK207+647.5,7x25,175,90,T girder,L
72,LK208+667.5,19x35,665,90,T +Box,LR
73,LK209+472.5,13x35,455,90,T girder,LR
74,LK210+182.5,18x25+5x35,625,90,T +Box,LR
75,LK210+900.0,4x35,140,90,T girder,L
76,LK211+535.5,11x35,385,90,T girder,L
77,LK212+075.0,6x35,210,90,T girder,L
78,LK212+957.5,21x25,525,90,T girder,L
79,LK213+530.0,16x25,400,90,T girder,L
80,LK217+087.5,7x25,175,90,T girder,L
81,LK217+630.0,13x25,325,90,T girder,L
82,LK218+210.0,10x25,250,90,T girder,LR
83,LK219+530.0,16x25,400,90,T girder,LR
84,LK220+455.0,15,15,60,solid slab,LR
85,LK222+427.5,9x25,225,90,T girder,LR
86,LK222+980.0,1x25,25,90,T girder,LR
87,LK223+315.0,5x25,125,90,T girder,LR
88,LK223+740.0,3x35,105,90,T girder,LR
89,LK224+800.0,6x25,150,90,T girder,LR
90,LK225+777.5,9x25,225,90,T girder,LR
91,LK226+430.0,12x25,300,90,T girder,LR
92,LK227+737.5,3x25,75,90,T girder,LR
93,LK228+515.0,6x25,150,90,T girder,LR
94,LK229+025.0,6x25,150,90,T girder,LR
95,LK229+470.0,3x25,75,90,T girder,LR
96,LK230+795.0,10x25,250,90,T girder,LR
97,LK232+250.0,10,10,90,solid slab,LR
98,LK232+762.6,6x25,150,90,T girder,LR
99,LK235+275.0,8x25,200,90,T girder,LR
100,LK236+490.0,14x35,490,90,T girder,L
101,LK237+092.5,7x35,245,90,T girder,L
102,LK238+392.5,7x25,175,90,T girder,L
103,LK238+870.0,17x35,595,90,T girder,L
104,LK241+817.0,5x25,125,90,T girder,L
105,LK242+444.5,10x25,250,90,T girder,L
106,LK243+009.5,6x25,150,90,T girder,L
107,LK243+654.5,15,15,90,solid slab,LR
108,LK244+194.5,8x35,280,90,T girder,LR
109,LK244+782.0,7x25,175,90,T girder,LR
110,LK245+349.5,10x35,350,90,T girder,LR
111,LK248+474.5,7x25,175,90,T girder,LR
112,LK248+879.5,15,15,45,solid slab,LR
113,LK249+567.0,11x25,275,90,T girder,LR
114,LK250+641.0,15,15,90,solid slab,LR
